application_type,applications,with_conditions,refused
"Telecommunications Notification",18,0,0
"Confirmation of Compliance",17,0,0
"Prior Approval - Storage/Dist to Res",17,0,9
"Variation: non-material changes",17,0,0
Advertisements,16,9,2
"App for Non-Material Amendments",16,3,3
"PA Additional Stories to Flats",16,0,11
"PA Storage to Residential",16,0,8
"Prior Approval of a Proposed Larger Home Extension",16,0,1
"Variation of conditions (Section 73 applications)",16,0,0
"Adjoining Borough Observations",15,0,0
"Legal Agreement",15,0,0
"PA - A1 - A5 (Sui Generis) to Residential",15,0,6
"PA COU from Com/Bus/Serv to Dwellhouse",15,0,2
"Submission of Details 8 Weeks",15,0,3
"Variation of a Legal Agreement",15,10,0
"Change of use",14,4,5
"Compliance with S106 obligation",14,0,0
"Demolition Notification",14,0,1
"Demolition Prior Notice",14,0,5
ENA,14,0,0
"Local Authority Development by Others",14,0,0
"Prior Approval (Unassigned)",14,0,11
"Prior Approval - Commercial/Business/Service/Betting/Pay day Loan to Mixed up to 2 Flats",14,0,5
"Prior Approval - Restaurant/cafe",14,0,2
"Prior Approval MA - GPDO Part 3 -56 Days",14,0,4
"Screening opinion (EIA)",14,0,0
"Telecomms Licence",14,0,0
"Additional storeys to dwellinghouse",13,0,12
"Application for obs to adj boroughs",13,0,6
"Comments Required for Application in Adjoining Borough",13,0,0
"Consultation from Adjoining Authority",13,0,4
"Demolition Prior Notification",13,0,0
"Details (following Listed Building Consent)",13,12,0
"Full App (Any Operational Development)",13,0,7
"GPDO - prior approval demolition",13,0,3
"Non Material Amendments 3",13,0,2
"Outline Planning Permission - All/Some Matters Reserved",13,4,3
"Outline planning permission",13,0,8
"PA Householder Rear Extn - Fast Track",13,0,1
"Pre Application Enquiry",13,0,0
"Prior Notification (Storage to Resi)",13,0,9
"Screening Opinion",13,0,0
"Warehouse to Residential",13,0,8
"Approval of Details -Discharge Condition",12,0,0
"Cert of Lawfulness Proposed Use",12,0,0
"Discharge of Condition",12,0,1
"Observations for neighbouring Authority",12,0,2
"Outline Permission (Minor)",12,5,7
"PA - Telecomms",12,0,8
"PA Retail to Cafe",12,0,1
"PA Storage or Light Ind to Residential",12,0,5
"Prior Approval (Class E, Betting Shop, Pay Day Loan To Mixed Use Inc Resi)",12,6,6
"Prior Approval - Storage/Distribution Centre to Dwellinghouse",12,0,4
"Section 73 - Major",12,5,1
"Solar Photovoltaics (PV) non domestic",12,1,0
"Variation / Removal of condition - Major Housing Application - (ten units or more)",12,0,0
"details reserved by condition",12,0,0
"Adjacent Authority Consultation",11,0,0
